Name,Archived,Description,Parent IDs,Parent names,Crop/variety,Season,Area/Location
2021-W21 Tomato roma HVW16-N,,Length (m): 28.5; Nr of plants: 71,,,Tomato roma,SPRING,HortasDoVale-West (HDVW) - bed 16 north section
2021-W21 Tomatoes varied HVW08,,Length (m): 57; Nr of plants: 56,,,Tomatoes varied,SPRING,HortasDoVale-West (HDVW) - bed 8
2021-W21 Turnip HVW16-S,,Length (m): 28.5; Nr of plants: 3705,,,Turnip,SPRING,HortasDoVale-West (HDVW) - bed 16 south section
2021-W22 Basil HVW08-S,,Length (m): 28.5; Nr of plants: 128,,,Basil,SPRING,HortasDoVale-West (HDVW) - bed 8 south section
2021-W22 Carrot HVE02,,Length (m): 55.2; Nr of plants: 11040,,,Carrot,SPRING,HortasDoVale-East (HDVE) - bed 2
2021-W22 Celery HVW08-N,,Length (m): 11.6; Nr of plants: 52,,,Celery,SPRING,HortasDoVale-West (HDVW) - bed 8 north section
2021-W22 Celery HVW08-S,,Length (m): 28.5; Nr of plants: 128,,,Celery,SPRING,HortasDoVale-West (HDVW) - bed 8 south section
2021-W22 Sweet corn HVE16,,Length (m): 55.2; Nr of plants: 440,,,Sweet corn,SPRING,HortasDoVale-East (HDVE) - bed 16
2021-W23 Cucumber HVW05-S,,Length (m): 8.91; Nr of plants: 40,,,Cucumber,SPRING,HortasDoVale-West (HDVW) - bed 5 south section
2021-W23 Melon round HVE05-N,,Length (m): 27.6; Nr of plants: 27,,,Melon round,SPRING,HortasDoVale-East (HDVE) - bed 5 north section
2021-W23 Melon round HVE07-N,,Length (m): 27.6; Nr of plants: 27,,,Melon round,SPRING,HortasDoVale-East (HDVE) - bed 7 north section
2021-W23 Watermelon HVE05-S,,Length (m): 27.6; Nr of plants: 27,,,Watermelon,SPRING,HortasDoVale-East (HDVE) - bed 5 south section
2021-W23 Watermelon HVE07-S,,Length (m): 27.6; Nr of plants: 27,,,Watermelon,SPRING,HortasDoVale-East (HDVE) - bed 7 south section
2021-W23 Zucchini HVW05-N,,Length (m): 28.5; Nr of plants: 28,,,Zucchini,SPRING,HortasDoVale-West (HDVW) - bed 5 north section
2021-W23 Zucchini HVW05-S,,Length (m): 7.13; Nr of plants: 7,,,Zucchini,SPRING,HortasDoVale-West (HDVW) - bed 5 south section
2021-W24 Celery HVW05-S,,Length (m): 13.4; Nr of plants: 90,,,Celery,SUMMER,HortasDoVale-West (HDVW) - bed 5 south section
2021-W24 Hot peppers HVW20-S,,Length (m): 18.7; Nr of plants: 84,,,Hot peppers,SUMMER,HortasDoVale-West (HDVW) - bed 20 south section
2021-W24 Mizuna green WGH3,,Length (m): 2.67; Nr of plants: 96,,,Mizuna green,SUMMER,Winter Green House - bed 3
2021-W24 Mizuna purple WGH3,,Length (m): 2.67; Nr of plants: 96,,,Mizuna purple,SUMMER,Winter Green House - bed 3
2021-W24 Padron peppers HVW20-S,,Length (m): 14.3; Nr of plants: 64,,,Padron peppers,SUMMER,HortasDoVale-West (HDVW) - bed 20 south section
2021-W24 Peppers HVW05-S,,Length (m): 13.4; Nr of plants: 60,,,Peppers,SUMMER,HortasDoVale-West (HDVW) - bed 5 south section
2021-W24 Peppers HVW20-N,,Length (m): 28.5; Nr of plants: 128,,,Peppers,SUMMER,HortasDoVale-West (HDVW) - bed 20 north section
2021-W24 Rucula WGH3,,Length (m): 16; Nr of plants: 576,,,Rucula,SUMMER,Winter Green House - bed 3
2021-W24 Sweet potato HVE04-N,,Length (m): 27.6; Nr of plants: 124,,,Sweet potato,SUMMER,HortasDoVale-East (HDVE) - bed 4 north section
2021-W25 Beetroot HVW08-N,,Length (m): 16.9; Nr of plants: 118,,,Beetroot,SUMMER,HortasDoVale-West (HDVW) - bed 8 north section
2021-W25 Green beans climber HVE16,,Length (m): 55.2; Nr of plants: 220,,,Green beans climber,SUMMER,HortasDoVale-East (HDVE) - bed 16
2021-W25 Green beans dwarf normal HVE18-N,,Length (m): 27.6; Nr of plants: 110,,,Green beans dwarf normal,SUMMER,HortasDoVale-East (HDVE) - bed 18 north section
2021-W25 Green beans dwarf round pod HVE18-S,,Length (m): 27.6; Nr of plants: 110,,,Green beans dwarf round pod,SUMMER,HortasDoVale-East (HDVE) - bed 18 south section
2021-W25 Parsley WGH3,,Length (m): 6.23; Nr of plants: 224,,,Parsley,SUMMER,Winter Green House - bed 3
2021-W25 Sweet corn HVE18,,Length (m): 55.2; Nr of plants: 440,,,Sweet corn,SUMMER,HortasDoVale-East (HDVE) - bed 18
2021-W26 Sweet potato HVE04-S,,Length (m): 27.6; Nr of plants: 124,,,Sweet potato,SUMMER,HortasDoVale-East (HDVE) - bed 4 south section
2021-W27 Celery HVW01-S,,Length (m): 10.7; Nr of plants: 48,,,Celery,SUMMER,HortasDoVale-West (HDVW) - bed 1 south section
2021-W27 Celery SGH3-N,,Length (m): 6.23; Nr of plants: 112,,,Celery,SUMMER,Summer Green House (SGH) - bed 3 north section
2021-W27 Cucumber HVW01-S,,Length (m): 5.34; Nr of plants: 24,,,Cucumber,SUMMER,HortasDoVale-West (HDVW) - bed 1 south section
2021-W27 Parsley SGH3-N,,Length (m): 4.45; Nr of plants: 160,,,Parsley,SUMMER,Summer Green House (SGH) - bed 3 north section
2021-W27 Rucula SGH3-N,,Length (m): 4.01; Nr of plants: 144,,,Rucula,SUMMER,Summer Green House (SGH) - bed 3 north section
2021-W27 Salanova SGH2-N,,Length (m): 5.34; Nr of plants: 96,,,Salanova,SUMMER,Summer Green House (SGH) - bed 2 north section
2021-W27 Spring onion HVW17,,Length (m): 57; Nr of plants: 512,,,Spring onion,SUMMER,HortasDoVale-West (HDVW) - bed 17
2021-W27 Swiss chard HVW13-N,,Length (m): 16.9; Nr of plants: 152,,,Swiss chard,SUMMER,HortasDoVale-West (HDVW) - bed 13 north section
2021-W29 Cucumber HVW07-N,,Length (m): 8.91; Nr of plants: 40,,,Cucumber,SUMMER,HortasDoVale-West (HDVW) - bed 7 north section
2021-W29 Melon long HVE13-N,,Length (m): 27.6; Nr of plants: 27,,,Melon long,SUMMER,HortasDoVale-East (HDVE) - bed 13 north section
2021-W29 Melon long HVW07-S,,Length (m): 28.5; Nr of plants: 28,,,Melon long,SUMMER,HortasDoVale-West (HDVW) - bed 7 south section
2021-W29 Parsley SGH4-N,,Length (m): 4.45; Nr of plants: 160,,,Parsley,SUMMER,Summer Green House (SGH) - bed 4 north section
